x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15;;;;;;;;;;;;;;;
0.343848220825561,0.00043190320428522196,0.051,0.127,0.059,0.133,0.999,0.679,0.982,0.017,0.09,0.0,0.001,264.527,863.747;;;;;;;;;;;;;;;
1.3027296806413236,0.001154644305026411,0.031,0.115,0.035,0.119,0.999,0.624,0.999,0.008,0.054,0.0,0.002,262.269,808.129;;;;;;;;;;;;;;;
0.7606976368324768,0.0006740998632899059,0.037,0.132,0.041,0.135,1.0,0.653,0.999,0.012,0.085,0.0,0.001,285.54,860.531;;;;;;;;;;;;;;;
2.7619343534556853,0.001872425960254725,0.093,0.162,0.099,0.169,0.998,0.804,1.0,0.021,0.104,0.0,0.004,263.19,774.808;;;;;;;;;;;;;;;
0.6971419942683759,0.0017773023614029466,0.097,0.159,0.103,0.166,0.998,0.781,1.0,0.03,0.102,0.0,0.003,260.185,811.987;;;;;;;;;;;;;;;
40.573205089598275,0.00080486153980043,0.051,0.122,0.056,0.128,0.992,0.7,0.99,0.003,0.086,0.0,0.016,282.57,891.114;;;;;;;;;;;;;;;
45.2966443326309,0.004886986000349043,0.068,0.133,0.072,0.14,0.985,0.74,0.994,0.014,0.088,0.006,0.016,271.435,829.082;;;;;;;;;;;;;;;
1.5524745752340616,0.0009506577797077036,0.05,0.132,0.054,0.137,0.998,0.688,0.997,0.012,0.089,0.0,0.002,281.79,891.097;;;;;;;;;;;;;;;
1.0098555031708987,0.00045891781148441583,0.071,0.141,0.074,0.145,1.0,0.734,1.0,0.027,0.089,0.0,0.003,269.238,816.595;;;;;;;;;;;;;;;
0.712976416812833,0.0013780750649581492,0.074,0.152,0.079,0.157,1.0,0.754,1.0,0.031,0.102,0.0,0.002,254.737,770.172;;;;;;;;;;;;;;;
0.6578272468022635,0.0019038978012518323,0.095,0.148,0.101,0.156,0.999,0.808,0.998,0.028,0.111,0.0,0.002,250.547,776.945;;;;;;;;;;;;;;;
0.43783637911351225,0.0008856556760906851,0.138,0.202,0.143,0.208,1.0,0.867,1.0,0.062,0.126,0.0,0.001,244.65,744.832;;;;;;;;;;;;;;;
0.8307773808695372,0.0011261688451239785,0.086,0.167,0.09,0.172,0.999,0.804,1.0,0.019,0.124,0.0,0.002,239.713,746.467;;;;;;;;;;;;;;;
0.5930075450055916,0.0011223854910737726,0.056,0.144,0.06,0.148,1.0,0.664,1.0,0.021,0.092,0.0,0.002,248.469,768.147;;;;;;;;;;;;;;;
10.722967852679222,0.001499106791423554,0.091,0.165,0.094,0.171,0.991,0.813,0.999,0.01,0.132,0.0,0.006,243.724,764.843;;;;;;;;;;;;;;;
3.188084642253482,0.0011832704143448186,0.14,0.187,0.146,0.196,0.996,0.867,1.0,0.036,0.137,0.0,0.004,235.425,715.96;;;;;;;;;;;;;;;
2.432586468933186,0.0010252651898202516,0.058,0.138,0.061,0.141,1.0,0.703,1.0,0.015,0.091,0.0,0.003,253.907,757.964;;;;;;;;;;;;;;; 1.43329  0.00262175  0.052  0.292  0.061  0.298  0.986  0.633  0.99  0.028  0.041  0.0  0.005  2.838  10.324
0.8112865983391184,0.0012223183660072595,0.064,0.13,0.067,0.134,0.999,0.756,1.0,0.031,0.105,0.0,0.002,265.695,782.891;;;;;;;;;;;;;;; 0.673159  0.00108497  0.051  0.192  0.061  0.197  0.998  0.627  0.978  0.023  0.093  0.001  0.002  17.739  57.341
1.5106089899649964,0.0013160414968335175,0.101,0.165,0.104,0.171,0.998,0.793,1.0,0.029,0.131,0.0,0.003,242.765,744.447;;;;;;;;;;;;;;; 0.478261  0.000682891  0.051  0.157  0.06  0.163  0.999  0.639  0.982  0.02  0.089  0.001  0.001  69.28  228.083
3.4392338239452847,0.0007900474480894474,0.099,0.171,0.102,0.178,0.994,0.784,1.0,0.011,0.142,0.0,0.003,257.857,786.905;;;;;;;;;;;;;;;
1.1345275021065895,0.0014420942716992314,0.068,0.126,0.071,0.131,0.998,0.759,0.999,0.017,0.094,0.0,0.003,245.058,756.387;;;;;;;;;;;;;;;
0.9771030085710937,0.0014335541074949757,0.062,0.136,0.065,0.139,0.998,0.723,1.0,0.018,0.108,0.0,0.002,257.52,785.219;;;;;;;;;;;;;;;
3.0664317370870675,0.0011312129156522016,0.087,0.146,0.09,0.151,0.998,0.776,1.0,0.017,0.115,0.0,0.004,257.639,790.746;;;;;;;;;;;;;;;
0.8642626124755727,0.0014922112780031758,0.08,0.147,0.085,0.153,1.0,0.757,0.998,0.026,0.097,0.0,0.002,245.545,779.15;;;;;;;;;;;;;;;
0.5241060972322604,0.0007751001603485977,0.102,0.173,0.105,0.177,0.999,0.81,1.0,0.033,0.14,0.0,0.002,252.09,766.748;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;;;;;;;;;;;;;;;
